date,symbol_id,exchange_id,open_price,high_price,low_price,close_price,volume,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2020-02-07,1,1,9612.03,9862.57,9526.35,9772.0,64949.706588,631245079.8223811,682179,32143.454647,312506614.3866246
2020-02-08,1,1,9772.0,9885.0,9730.0,9813.73,43966.114632,430744860.1814393,582249,22733.988186,222761439.9557888
2020-02-09,1,1,9813.87,9940.0,9667.11,9895.05,43600.843666,427781790.200816,514573,22664.381837,222438123.8466874
2020-02-10,1,1,9895.04,10166.0,9880.75,10151.75,43408.475616,437441704.90539634,536848,22408.277327,225799470.0027466
2020-02-11,1,1,10151.72,10188.0,9756.0,9851.83,59573.084619,590091358.442907,690308,28618.883245,283509329.4368132
2020-02-12,1,1,9851.74,10323.59,9700.0,10223.08,62422.395224,624970415.4054742,710170,31905.31642,319373572.872505
2020-02-13,1,1,10223.08,10450.0,10223.08,10326.46,61008.06393,629756037.5160786,857655,31141.8077,321525481.5414018
2020-02-14,1,1,10325.33,10500.0,10080.0,10229.63,79344.358759,815507473.735361,932802,38475.272548,395629173.0386233
2020-02-15,1,1,10227.78,10381.56,10111.37,10344.36,47038.480173,482455622.0036259,622310,23697.005493,243079257.3055149
2020-02-16,1,1,10344.36,10375.0,9801.0,9904.72,57657.202947,580845331.1747847,739781,26758.580323,269731775.5031557
2020-02-17,1,1,9904.46,10050.0,9638.12,9917.27,60023.999537,592584876.9040861,708070,29406.136839,290482773.25193715
2020-02-18,1,1,9910.7,9964.16,9452.67,9706.0,70261.011901,680009637.6159953,778058,33221.839241,321724146.0973482
2020-02-19,1,1,9706.0,10250.0,9576.01,10164.71,70604.124019,696870122.812608,723413,37303.996326,368380176.64872575
2020-02-20,1,1,10164.78,10250.0,9350.0,9593.79,55162.586895,547679966.9292257,588760,25457.91648,253188749.12823528
2020-02-21,1,1,9594.65,9699.0,9400.0,9596.42,60152.342914,576020107.4626018,667387,29843.208875,285816414.8781603
2020-02-22,1,1,9597.21,9755.51,9550.21,9677.05,42181.554524,408286949.8035292,470599,21645.267614,209532434.5763331
2020-02-23,1,1,9677.05,9709.17,9560.02,9650.86,24636.757623,237544283.22525856,319961,13267.246511,127929552.99759819
2020-02-24,1,1,9650.85,9990.0,9645.0,9936.4,37702.089843,371815095.46744496,441935,20035.250549,197592792.8624695
2020-02-25,1,1,9936.4,9990.0,9473.56,9656.13,55796.59612,542081527.6408329,589384,26426.930644,256859539.02050737
2020-02-26,1,1,9655.52,9675.0,9250.0,9315.84,54379.344552,514946930.56602305,579079,26318.934158,249358678.88131347
2020-02-27,1,1,9316.48,9377.44,8633.63,8785.25,92130.345482,830717784.379095,871018,41928.874809,378197861.58165485
2020-02-28,1,1,8786.0,8971.77,8531.0,8823.21,72483.578762,636955872.7625463,696646,35410.014492,311229361.68385184
2020-02-29,1,1,8823.25,8900.0,8445.0,8692.91,71155.208977,615664817.0103912,655727,35295.606135,305533926.9847335
2020-03-01,1,1,8690.8,8790.0,8523.55,8523.61,36748.183035,318585951.98853236,414175,18916.854559,164044036.86872095
2020-03-02,1,1,8523.61,8750.0,8411.0,8531.88,43892.201779,375729315.25408256,472019,21838.368866,186962259.70689058
2020-03-03,1,1,8530.3,8965.75,8498.0,8915.24,60401.31773,528906629.5628192,564535,31213.080602,273395227.9483244
2020-03-04,1,1,8911.18,8919.65,8651.0,8760.07,55154.997282,484181096.3229557,512762,26954.229745,236655810.14459231
2020-03-05,1,1,8760.07,8848.29,8660.0,8750.87,38696.482578,338849891.9529354,454817,19279.33119,168832874.50723547
2020-03-06,1,1,8750.99,9159.42,8746.54,9054.68,58201.866355,524102029.20478296,619552,30482.082171,274387102.9108894
2020-03-07,1,1,9054.64,9170.0,8985.5,9131.88,43782.948044,397598476.4205629,493216,22296.560506,202484342.22117206
2020-03-08,1,1,9130.89,9188.0,8835.0,8886.66,45422.204525,409983263.78913796,485400,22281.715855,201161181.30473226
2020-03-09,1,1,8885.25,8886.76,8000.0,8033.31,77537.315166,656931544.7821604,740741,34843.607849,295351474.4354491
2020-03-10,1,1,8034.76,8179.31,7632.01,7929.87,116968.863268,918787729.0855838,929234,58020.957927,455866837.30462253
2020-03-11,1,1,7929.87,8149.0,7728.01,7894.56,86783.443875,689700153.4490932,737528,43673.584024,347117049.3619673
2020-03-12,1,1,7894.57,7980.0,7590.0,7934.52,79942.411172,624465167.3648188,699401,40497.892738,316442882.7597013
2020-03-13,1,1,7934.58,7966.17,4410.0,4800.0,261505.608653,1628590104.2222133,1770812,119298.006197,743481672.2037649
2020-03-14,1,1,4800.01,5955.0,3782.13,5578.6,402201.673764,2063819540.638995,2309830,197511.954273,1017423855.7557491
2020-03-15,1,1,5576.05,5640.52,5055.13,5172.06,136910.135974,736651880.9210789,1106125,66104.019729,356020329.8521769
2020-03-16,1,1,5172.48,5940.0,5093.1,5361.3,139916.146534,753755706.4268771,1037714,70540.65095,380499471.94982266
2020-03-17,1,1,5360.33,5365.42,4442.12,5028.97,227276.92276,1113690309.1015868,1608176,108901.967366,533857910.81658685
2020-03-18,1,1,5028.86,5525.0,4921.45,5312.64,150089.926318,793147908.2684973,1069217,74698.374254,394902319.1241586
2020-03-19,1,1,5312.64,5436.17,5009.37,5393.04,137127.634894,719748122.45302,962843,65106.067778,341970839.5779824
2020-03-20,1,1,5393.26,6400.0,5252.53,6162.37,199020.873439,1164739707.514236,1403608,99011.947011,579536547.7582244
2020-03-21,1,1,6162.05,6900.0,5670.0,6208.36,219298.329514,1401734013.1752021,1580069,104719.63918,670117999.1481416
2020-03-22,1,1,6204.57,6456.98,5860.02,6186.98,128913.668363,794962136.6384171,990974,63326.096852,390737241.11380976
2020-03-23,1,1,6187.04,6407.87,5734.01,5816.19,119115.990527,722895653.5100615,952259,57189.898349,347411876.3609581
2020-03-24,1,1,5816.05,6600.0,5688.0,6467.31,164674.215785,1015525672.0743864,1099406,84136.011728,519197453.13588756
2020-03-25,1,1,6465.25,6833.0,6371.33,6744.72,151138.009878,1001890515.2399886,1012669,72781.817328,482659188.55276763
2020-03-26,1,1,6744.69,6957.96,6450.0,6677.43,132155.734989,880250736.9079887,912179,63515.16835,423439621.6406946
2020-03-27,1,1,6677.42,6780.0,6510.0,6737.36,83026.555211,552537189.4793514,668467,41123.410506,273834254.4669247
2020-03-28,1,1,6737.27,6842.59,6261.0,6359.11,82914.968354,551326113.8552039,643631,38439.272216,255910741.81760174
2020-03-29,1,1,6359.11,6360.0,6024.0,6236.65,93159.693429,577986706.1289365,725588,44960.523438,279053353.63500285
2020-03-30,1,1,6236.65,6266.0,5866.56,5881.42,63311.627714,383707122.5009629,496709,29080.967922,176336037.90451324
2020-03-31,1,1,5880.5,6599.0,5857.76,6394.38,118889.549992,747569726.4544197,784034,58863.312983,370039956.0073812
2020-04-01,1,1,6394.45,6523.23,6321.4,6410.44,72337.595259,465780496.6224872,538231,34730.902334,223650665.24981058
2020-04-02,1,1,6412.14,6679.94,6150.11,6642.92,97500.7524,618527468.8341641,758061,49161.370195,312180122.98026615
2020-04-03,1,1,6643.36,7198.0,6551.0,6794.09,149299.906871,1014494762.4416422,1101043,74722.163748,508095825.9586769
2020-04-04,1,1,6793.86,7048.0,6602.1,6734.1,104080.276939,710254017.1002722,840456,51077.938671,348762338.666862
2020-04-05,1,1,6732.97,6990.41,6650.01,6856.99,72990.861139,495076283.5209041,659051,36419.056684,247173793.29146552
2020-04-06,1,1,6857.41,6895.54,6677.52,6772.78,49685.356983,337062083.0020279,506433,23875.578312,162008820.3887751
2020-04-07,1,1,6772.78,7355.14,6765.0,7329.9,118052.000832,837357664.6519214,956586,59322.208873,420706756.20827895
2020-04-08,1,1,7329.9,7459.69,7077.0,7197.32,103585.168918,757201786.6976632,924436,48811.267789,357008427.7255391
2020-04-09,1,1,7197.32,7420.0,7150.0,7361.28,76059.145838,555122600.2750258,750516,39000.552565,284685809.77746606
2020-04-10,1,1,7360.26,7371.92,7108.08,7283.54,61094.872417,444741085.9037586,686207,28801.892851,209718590.14289618
2020-04-11,1,1,7283.54,7295.75,6739.98,6858.92,104674.623375,727281590.7719399,949050,47958.960805,333222230.69815034
2020-04-12,1,1,6858.92,6944.3,6760.0,6876.83,45470.293206,311699573.516674,484618,21157.128381,145036158.54711846
2020-04-13,1,1,6876.84,7177.0,6780.0,6903.79,73868.666501,516235035.18651134,648323,35637.958687,249206873.18271956
2020-04-14,1,1,6903.79,6903.79,6575.0,6837.91,96415.476573,649390681.2485026,804179,44648.492187,300780988.70993096
2020-04-15,1,1,6838.04,6978.0,6754.28,6868.7,69068.623285,474794776.19211113,608665,32019.322337,220122993.7265764
2020-04-16,1,1,6868.57,6933.0,6605.0,6621.24,61571.384994,416947490.6156957,581374,29866.89225,202324176.1600371
2020-04-17,1,1,6621.25,7190.0,6468.27,7101.94,125009.857539,865277543.3946934,971163,63251.204331,438475139.1082971
2020-04-18,1,1,7101.99,7148.12,6972.98,7027.55,54126.509763,382334236.16947895,537554,25973.970677,183489537.17453393
2020-04-19,1,1,7026.78,7293.08,7014.4,7248.6,49488.542819,354845083.77618897,494670,23980.644731,171950110.370116
2020-04-20,1,1,7248.6,7266.15,7055.6,7120.74,45664.86393,326485586.9317383,483574,21519.030976,153854417.3706887
2020-04-21,1,1,7121.4,7220.0,6751.0,6826.83,90149.49137,629612368.7476892,785174,40427.515933,282531224.312811
2020-04-22,1,1,6828.98,6940.0,6762.0,6841.37,60109.710808,411800606.08159715,555797,27732.164398,190003705.32072502
2020-04-23,1,1,6841.36,7156.38,6818.0,7125.14,61486.377334,431271646.17559904,508659,28258.859922,198241315.96185333
2020-04-24,1,1,7125.12,7738.0,7020.0,7482.39,102773.569561,756320213.5858521,881099,52475.598541,386041564.8244507
2020-04-25,1,1,7483.96,7615.96,7388.0,7505.0,60182.119939,452118137.79400164,601093,29412.509143,220931579.32065317
2020-04-26,1,1,7505.0,7705.0,7431.07,7538.67,43874.427726,331292050.77197313,521943,21111.140946,159480178.37989962
2020-04-27,1,1,7539.03,7700.0,7480.0,7693.1,50522.616209,384202783.2747096,554480,24707.494225,187939788.77144253
2020-04-28,1,1,7693.1,7792.02,7606.0,7774.62,65441.339576,504025811.6512535,637800,31594.106596,243380424.90896013
2020-04-29,1,1,7773.51,7780.0,7659.12,7738.98,46302.752638,357391780.93076265,499414,21305.50136,164468534.08844885
2020-04-30,1,1,7738.58,8952.89,7710.05,8778.57,183546.887514,1536390177.044949,1433128,91462.005617,765292175.0671884
2020-05-01,1,1,8778.58,9460.0,8401.0,8620.0,206277.214124,1839283907.4625194,1661554,99484.476377,887675398.177694
2020-05-02,1,1,8620.0,9059.18,8613.56,8826.96,91468.815059,805640126.6308705,865960,44763.354481,394216389.90386546
2020-05-03,1,1,8825.67,9010.0,8753.0,8972.05,59002.08755,523838859.5442492,637884,30400.353449,269917468.3416013
2020-05-04,1,1,8972.58,9200.0,8712.0,8894.16,90126.065643,808427095.9321591,877460,44321.3704,397824441.8012372
2020-05-05,1,1,8894.15,8950.0,8522.0,8871.96,84418.512331,738343818.6939254,848802,39118.380222,342180074.58001775
2020-05-06,1,1,8871.92,9118.58,8760.0,9021.83,76480.765342,683083018.8779808,812543,37454.518379,334700993.4328503
2020-05-07,1,1,9021.36,9395.0,8906.21,9142.92,105925.30242,972793508.4649074,1007661,51189.790893,470167656.5656032
2020-05-08,1,1,9143.4,10067.0,9021.0,9986.4,147154.611378,1409783462.0063643,1254835,74602.193112,715407978.1961043
2020-05-09,1,1,9986.3,10035.96,9705.0,9800.01,100683.7964,997005843.7404792,967816,46207.637594,457701324.85886586
2020-05-10,1,1,9800.02,9914.25,9520.0,9539.4,81950.679567,795001351.6797023,839384,36738.679244,356475632.6589254
2020-05-11,1,1,9539.1,9574.83,8117.0,8722.77,183865.182028,1594996476.975637,1565771,84376.580774,731417660.3519951
2020-05-12,1,1,8722.77,9168.0,8200.0,8561.52,168807.251832,1468392820.7608037,1367382,81474.595067,708958944.1586587
2020-05-13,1,1,8562.04,8978.26,8528.78,8810.79,86522.780066,760195457.0509586,784859,40570.317401,356508014.1884676
2020-05-14,1,1,8810.99,9398.0,8792.99,9309.37,92466.274018,839725719.9602077,869216,43648.354655,396713970.0443314
2020-05-15,1,1,9309.35,9939.0,9256.76,9791.98,129565.37747,1247456797.8136663,1199530,63438.510993,611313934.3913236
2020-05-16,1,1,9791.97,9845.62,9150.0,9316.42,115890.761516,1099721375.8919058,1055630,55397.123434,525813199.3366492
2020-05-17,1,1,9315.96,9588.0,9220.0,9381.27,59587.627862,560547005.0259086,692028,28861.3682,271542836.2138013
2020-05-18,1,1,9380.81,9888.0,9322.1,9680.04,68647.764323,663088800.815278,722718,34734.034993,335478915.9764369
2020-05-19,1,1,9681.11,9950.0,9464.23,9733.93,82006.603583,797622297.3261683,794292,40242.842986,391957586.20057756
2020-05-20,1,1,9733.93,9897.21,9474.0,9775.53,78539.760454,760713946.0085461,773581,37821.719308,366745428.20816094
2020-05-21,1,1,9775.13,9842.0,9326.0,9511.43,74923.73809,721190802.7634026,731189,33481.796678,322416331.9624527
2020-05-22,1,1,9511.43,9578.47,8815.0,9068.65,108928.780969,1002046265.9412597,951971,49914.081138,459089374.16887957
2020-05-23,1,1,9067.51,9271.0,8933.52,9170.0,58943.131024,537847834.4967086,693694,28987.315896,264538897.25902513
2020-05-24,1,1,9170.0,9307.85,9070.0,9179.15,43526.296966,400407195.62892234,512460,21377.616332,196682791.17593566
2020-05-25,1,1,9179.01,9298.0,8700.0,8720.34,70379.86645,636787240.3733248,774088,32046.411444,290362268.47214717
2020-05-26,1,1,8718.14,8979.66,8642.72,8900.35,62833.910949,553545285.9140139,733557,30771.888744,271166770.94493836
2020-05-27,1,1,8900.35,9017.67,8700.0,8841.18,58299.770138,516455128.89068806,678304,28242.170083,250278944.16497475
2020-05-28,1,1,8841.0,9225.0,8811.73,9204.07,68910.355514,624660855.780037,662850,33532.620265,304057334.99150485
2020-05-29,1,1,9204.07,9625.47,9110.0,9575.89,74110.787662,693930106.1813825,738725,37974.899609,355720464.8630843
2020-05-30,1,1,9575.87,9605.26,9330.0,9427.07,57374.362961,542758086.6064702,593705,26819.212894,253696538.73175293
2020-05-31,1,1,9426.6,9740.0,9331.23,9697.72,55665.27254,530598690.0714505,651290,29252.679904,279016030.1311799
2020-06-01,1,1,9697.72,9700.0,9381.41,9448.27,48333.786403,461272298.8525205,651473,22778.001169,217450165.0180633
2020-06-02,1,1,9448.27,10380.0,9421.67,10200.77,76649.12696,749707596.6593573,826964,41530.412317,406777189.28314984
2020-06-03,1,1,10202.71,10228.99,9266.0,9518.04,108970.773151,1070060237.1302093,1004312,49354.907969,485973112.19351894
2020-06-04,1,1,9518.02,9690.0,9365.21,9666.24,46252.644939,441928818.0430156,562784,22656.30815,216537558.0168512
2020-06-05,1,1,9666.32,9881.63,9450.0,9789.06,57456.100969,557234945.6467389,665881,28778.237371,279263924.70782906
2020-06-06,1,1,9788.14,9854.75,9581.0,9621.16,47788.05005,465200788.20363384,566062,22329.107119,217444468.9505285
2020-06-07,1,1,9621.17,9735.0,9531.05,9666.3,32752.950893,315604867.2361491,435796,15832.693765,152610794.9455491
2020-06-08,1,1,9666.85,9802.0,9372.46,9746.99,57952.848385,556919603.7915448,637766,28426.595129,273242856.19134754
2020-06-09,1,1,9746.99,9800.0,9633.0,9782.01,40664.664125,395459395.8213372,485139,19744.039124,192037951.04548973
2020-06-10,1,1,9782.0,9877.0,9570.0,9772.43,46024.001289,447208895.8386983,551863,21901.19095,212965408.6778281
2020-06-11,1,1,9772.44,9992.72,9704.18,9885.0,47130.762982,462384305.3511993,560909,23128.161032,226982635.61915445
2020-06-12,1,1,9885.22,9964.0,9113.0,9280.4,94418.98473,902075648.5453849,966502,40972.064749,391689549.6579659
2020-06-13,1,1,9278.88,9557.12,9232.51,9465.13,50119.066932,472007894.3756753,553203,24344.81637,229325970.87113217
2020-06-14,1,1,9464.96,9494.73,9351.0,9473.34,27759.784851,261673162.2584724,392763,13531.007214,127577168.31734002
2020-06-15,1,1,9473.34,9480.99,9245.0,9342.1,30055.506608,282131272.3800662,415568,14465.416151,135811554.06421557
2020-06-16,1,1,9342.1,9495.0,8910.45,9426.02,86107.924707,793518842.5509845,839521,41630.747529,384031123.18172884
2020-06-17,1,1,9426.05,9589.0,9373.09,9525.59,52052.446927,494458269.1397911,543481,25692.839625,244097412.8828076
2020-06-18,1,1,9526.97,9565.0,9236.61,9465.14,48046.411152,453209812.2257806,536158,22842.831276,215532725.63392767
2020-06-19,1,1,9465.13,9489.0,9280.0,9386.32,37381.953765,351649555.0725387,475074,17940.405253,168801558.37933227
2020-06-20,1,1,9386.32,9438.3,9215.79,9310.23,45330.983673,423086965.1927383,503484,22055.969046,205898368.34014913
2020-06-21,1,1,9310.23,9395.0,9170.95,9358.95,30329.065384,282120360.5567526,382778,15125.081769,140741525.62068328
2020-06-22,1,1,9358.95,9422.0,9281.54,9294.69,24316.926234,227467940.6102112,321015,11779.797182,110215504.55537862
2020-06-23,1,1,9294.69,9780.0,9277.09,9685.69,57895.468343,550995799.0694704,588704,30738.200375,292712778.1434761
2020-06-24,1,1,9685.69,9720.0,9577.03,9624.89,41031.02938,395487616.460878,474319,19112.606216,184247416.84941235
2020-06-25,1,1,9624.33,9670.0,9208.0,9296.49,61571.561464,579426702.7966821,572362,26903.544061,253131387.59992126
2020-06-26,1,1,9298.33,9340.0,9009.69,9249.49,55831.619156,514396747.4047828,536205,26546.395563,244659133.8850236
2020-06-27,1,1,9249.49,9298.0,9045.45,9162.21,50292.298277,461347064.82950306,510947,23307.903475,213866832.83863124
2020-06-28,1,1,9162.21,9196.24,8833.0,9012.0,46290.930113,419606802.2372014,499415,21056.87686,191013780.26087573
2020-06-29,1,1,9012.0,9191.0,8948.06,9116.35,30688.176421,278721674.9221112,374404,14982.804528,136093615.8190654
2020-06-30,1,1,9116.16,9238.0,9024.67,9192.56,42120.293261,384206326.4706804,434299,20449.097796,186542867.41056207
2020-07-01,1,1,9192.93,9205.0,9064.89,9138.55,31463.162801,287781334.5170158,328083,15267.747467,139674651.10276634
2020-07-02,1,1,9138.08,9292.0,9080.1,9232.0,38488.528699,354087627.16966116,374832,19068.831705,175429466.2892198
2020-07-03,1,1,9231.99,9261.96,8940.0,9086.54,45725.168076,417724468.88735676,470292,21637.630489,197709875.24815682
2020-07-04,1,1,9086.54,9125.0,9037.47,9058.26,28943.420177,263123750.46717235,343189,13719.524517,124722413.06761461
2020-07-05,1,1,9057.79,9190.0,9040.04,9135.46,26441.968484,240576054.91572312,335225,13588.8196,123666216.06517515
2020-07-06,1,1,9135.0,9145.24,8893.03,9069.41,34073.653627,308410443.6592152,384500,16276.23427,147339875.53843993
2020-07-07,1,1,9069.41,9375.0,9055.92,9344.2,54463.132277,502548376.20946366,533540,28132.942222,259636973.335946
2020-07-08,1,1,9342.47,9379.42,9203.0,9257.39,34587.336678,320576525.3553498,433481,16284.849002,150931441.59977534
2020-07-09,1,1,9257.4,9470.0,9231.0,9436.06,56140.517781,525344876.6999235,652605,28067.680642,262723969.14964062
2020-07-10,1,1,9436.06,9440.79,9160.0,9232.43,48044.450645,447640493.54432976,575491,22644.915501,210991009.74510142
2020-07-11,1,1,9232.42,9317.48,9125.0,9288.34,38295.494006,352238898.76948255,525484,18360.613168,168904319.25502697
2020-07-12,1,1,9288.34,9299.28,9178.25,9234.03,22561.366,208410250.5095937,413452,10815.473293,99921646.88340026
2020-07-13,1,1,9234.02,9345.0,9157.5,9302.75,30872.702286,285591381.4915314,484875,14980.187704,138584259.00133508
2020-07-14,1,1,9303.31,9343.82,9200.89,9242.62,42740.069115,396614086.79626995,642552,19689.443337,182734051.95071438
2020-07-15,1,1,9242.61,9279.54,9113.0,9255.85,45772.552509,421789086.4549474,613139,21666.536951,199673293.75001955
2020-07-16,1,1,9255.85,9276.49,9160.57,9197.6,39053.579665,360201683.49480516,554780,17977.679747,165822998.03166476
2020-07-17,1,1,9197.6,9226.15,9047.25,9133.72,43375.571191,395883667.0248003,681807,20410.130009,186271268.49276468
2020-07-18,1,1,9133.72,9186.83,9089.81,9154.32,28054.358741,256360345.57676792,470991,13397.537805,122434361.70789555
2020-07-19,1,1,9154.31,9219.3,9121.1,9170.28,22554.541457,206628105.36278892,430377,11502.704829,105387979.46391492
2020-07-20,1,1,9170.3,9232.27,9101.35,9208.99,26052.019417,238521988.0313255,440449,12873.373493,117870221.4249293
2020-07-21,1,1,9208.99,9221.52,9131.0,9160.78,35458.764082,325297289.27265835,557096,16527.692886,151623269.70394644
2020-07-22,1,1,9160.78,9437.73,9152.8,9390.0,60413.582486,563360524.7994282,782959,29470.512051,274802209.580128
2020-07-23,1,1,9390.0,9544.0,9261.0,9518.16,48815.004107,457776105.61557144,663029,23362.19379,219166005.90788165
2020-07-24,1,1,9518.16,9664.0,9440.33,9603.27,51856.2335,494282948.7336824,735371,24461.265468,233235064.19448093
2020-07-25,1,1,9603.27,9637.0,9463.44,9537.8,43931.136205,419240263.5218282,677725,20416.299973,194861143.5855291
2020-07-26,1,1,9538.1,9732.9,9513.0,9700.42,40679.545416,391431695.7168218,675222,19626.608893,188907762.7521463
2020-07-27,1,1,9700.42,10111.0,9650.0,9931.54,65279.269319,644607634.4817771,945611,33748.331807,333445554.97564465
2020-07-28,1,1,9931.54,11394.86,9917.21,11029.96,150188.933144,1580355372.0991797,1901088,76650.610051,806266386.3887895
2020-07-29,1,1,11029.96,11242.23,10565.0,10906.27,97267.734187,1065375500.1891887,1475636,46575.430534,510271018.98956394
2020-07-30,1,1,10906.27,11342.82,10812.0,11100.53,76838.094233,853242253.6158237,1127302,36218.477065,402507227.08882374
2020-07-31,1,1,11100.52,11170.0,10831.0,11099.61,60794.826456,669779541.8872834,879960,28272.698765,311567992.0035252
2020-08-01,1,1,11099.79,11444.0,10960.0,11335.46,70063.660974,786344325.8552314,971584,34068.143365,382632611.4413553
2020-08-02,1,1,11335.46,11861.0,11220.0,11801.17,85087.485126,987817017.3186326,1174252,40523.733524,470714480.0111347
2020-08-03,1,1,11801.17,12123.46,10518.5,11071.35,97553.077604,1105757335.5281618,1459900,45974.786415,521934340.8317661
2020-08-04,1,1,11071.36,11473.0,10936.0,11219.81,56931.841475,641127593.2614517,919185,27133.035136,305554713.93730706
2020-08-05,1,1,11219.68,11414.98,11000.0,11191.97,58629.113709,658084242.6797222,863692,27861.615661,312734273.79301876
2020-08-06,1,1,11191.99,11780.93,11093.0,11744.91,74970.256852,861433645.4244397,964637,36130.384551,415113460.07729
2020-08-07,1,1,11744.91,11900.0,11562.5,11762.46,63529.08502,746479211.7155949,919918,30044.203297,353083043.8420358
2020-08-08,1,1,11762.47,11909.94,11322.0,11594.23,65755.926022,767005529.2821208,940045,29993.01871,349862123.74910676
2020-08-09,1,1,11594.36,11808.27,11512.0,11761.41,41858.16104,489087264.36028093,779318,20448.352618,238996465.92770353
2020-08-10,1,1,11761.02,11797.11,11521.97,11681.68,41493.067342,483708602.8963804,853386,19031.223314,221877538.80726916
2020-08-11,1,1,11681.69,12067.35,11450.0,11892.92,84952.337887,1009169063.3832129,1340835,42058.722455,499909664.32169163
